product,consom,unit,tax,currency,geo\time	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 
6000,4262800,KWH,I_TAX,NAC,PL	: 	: 	0.2398 	0.2346 	0.2382 	0.2268 	0.2288 	: 	0.2250 	0.2192 	0.2023 	0.2070 	0.1830 	0.1830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262800,KWH,I_TAX,NAC,RO	: 	: 	0.1804 	0.2200 	2253.9300 	2033.5000 	1917.0900 	1511.1100 	1495.9200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262800,KWH,I_TAX,NAC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0282 	0.0280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0352 	: 	: 	: 	0.0377 	0.0381 	0.0418 	0.0411 	0.0420 	0.0410 	0.0360 	0.0360 
6000,4262800,KWH,X_TAX,NAC,BE	: 	0.0676 	0.0600 	0.0527 	0.0445 	0.0449 	0.0434 	0.0412 	0.0423 	0.0422 	0.0424 	0.0427 	0.0413 	0.0416 	0.0392 	0.0390 	0.0391 	0.0416 	0.0409 	0.0418 	0.0407 	0.0408 	0.0409 	0.0409 	0.0419 	0.0402 	0.0397 	0.0412 	0.0414 	0.0414 	0.0397 	0.0389 
6000,4262800,KWH,X_TAX,NAC,EL	: 	0.0437 	0.0437 	0.0422 	0.0422 	0.0412 	0.0412 	0.0402 	0.0402 	0.0390 	0.0390 	0.0387 	0.0377 	0.0366 	0.0366 	0.0366 	0.0366 	0.0355 	0.0355 	: 	0.0343 	0.0343 	0.0343 	0.0343 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0308 
6000,4262800,KWH,X_TAX,NAC,ES	: 	: 	0.0327 	0.0311 	: 	: 	0.0306 	0.0301 	0.0301 	0.0307 	0.0307 	0.0292 	0.0292 	0.0288 	0.0288 	0.0282 	0.0282 	0.0282 	0.0282 	0.0304 	0.0304 	0.0316 	0.0316 	0.0316 	0.0316 	0.0322 	0.0322 	0.0322 	0.0322 	0.0320 	0.0320 	0.0335 
6000,4262800,KWH,X_TAX,NAC,IT	0.0822 	0.0831 	0.0818 	0.0713 	0.0723 	0.0631 	0.0625 	0.0655 	0.0637 	0.0610 	0.0587 	0.0605 	0.0686 	0.0520 	0.0443 	0.0381 	0.0372 	0.0395 	0.0445 	0.0423 	0.0423 	0.0397 	0.0397 	0.0397 	0.0379 	0.0352 	0.0352 	: 	: 	: 	: 	: 
6000,4262800,KWH,X_TAX,NAC,PL	: 	: 	0.1766 	0.1723 	0.1752 	0.1661 	0.1675 	: 	0.1825 	0.1783 	0.1654 	0.1700 	0.1500 	0.1500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262800,KWH,X_TAX,NAC,RO	: 	: 	0.1516 	0.1849 	1894.0600 	1567.7200 	1477.9800 	1164.9900 	1153.2800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262800,KWH,X_TAX,NAC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0231 	0.0230 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0299 	: 	: 	: 	0.0321 	0.0324 	0.0356 	0.0350 	0.0360 	0.0350 	0.0310 	0.0300 
6000,4262800,KWH,X_VAT,NAC,BE	: 	0.0690 	0.0615 	0.0544 	0.0464 	0.0467 	0.0450 	0.0425 	0.0427 	0.0422 	0.0425 	0.0429 	0.0413 	0.0416 	0.0392 	0.0390 	0.0391 	0.0416 	0.0409 	0.0418 	0.0407 	0.0408 	0.0409 	0.0409 	0.0419 	0.0402 	0.0397 	0.0412 	0.0414 	0.0414 	0.0397 	0.0389 
6000,4262800,KWH,X_VAT,NAC,EL	: 	0.0437 	0.0437 	0.0422 	0.0422 	0.0412 	0.0412 	0.0402 	0.0402 	0.0390 	0.0390 	0.0387 	0.0377 	0.0366 	0.0366 	0.0366 	0.0366 	0.0355 	0.0355 	: 	0.0343 	0.0343 	0.0343 	0.0343 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0326 	0.0308 
6000,4262800,KWH,X_VAT,NAC,ES	: 	: 	0.0343 	0.0327 	: 	: 	0.0322 	0.0317 	0.0317 	0.0323 	0.0322 	0.0307 	0.0307 	0.0303 	0.0303 	0.0297 	0.0297 	0.0297 	0.0297 	0.0304 	0.0304 	0.0316 	0.0316 	0.0316 	0.0316 	0.0322 	0.0322 	0.0322 	0.0322 	0.0320 	0.0320 	0.0335 
